Plot	Elev	UTME	UTMN	Est
YOHOPIPO	1500	247000	4187500	1991
BBBPIPO	1609	340000	4048000	1992
CCRPIPO	1637	339000	4049000	1991
CRCRPIPO	1637	256000	4179500	1993
FFS7CONTROL	1941	342500	4050000	2001
FFS6BURN	2018	342500	4050500	2001
FFS5BURN	2030	343000	4050000	2001
SURIP	2033	339000	4052000	1982
SUABCO	2035	339000	4052000	1983
SUPILA	2059	339000	4052500	1983
FRPIJE	2106	344000	4053000	1983
FFS2BURN	2128	344000	4051500	2001
LMCC	2128	344500	4048000	1982
LOTHAR	2167	344000	4047500	1984
LOGSEGI	2170	344500	4047500	1983
UPTHAR	2202	344000	4048000	1984
LOLOG	2207	344500	4047500	1985
UPLOG	2210	345000	4047500	1985
LOGPIJE	2405	345000	4048000	1985
SFTRABMA	2484	263000	4192500	1992
WTABMA	2521	347000	4052000	1993
POFLABMA	2542	274500	4188500	1994
PGABMA	2576	347500	4050500	1992
EMSLOPE	2950	350500	4051500	1983
EMRIDGE	3097	350500	4051500	1984
