Year	WYMon	Basin	ppt_mm	pet_mm	tmx_C	tmn_C	tav_C	snw_mm	mlt_mm	sbl_mm	pck_mm	exc_mm	aet_mm	rch_mm	cwd_mm	run_mm	str_mm	rch_acft	run_acft	Basin_area_m^2
1976	1	0	122.19	74.12	17.34	2.14	9.74	10.93	0	10.93	0	48.07	74.12	0	0	0	83.8	0	0	72900
1976	2	0	59.79	30.5	11.16	-0.97	5.09	22.03	14.07	7.96	0	29.29	30.5	0	0	0	105.13	0	0	72900
1976	3	0	16.53	17.94	9.36	-3.05	3.15	8.72	2.41	6.32	0	0	0	0	0	0	115.34	0	0	72900
1976	4	0	2.25	20.7	10.01	-3.2	3.4	1.14	0	1.14	0	0	0	0	0	0	116.45	0	0	72900
1976	5	0	109.98	21.8	9.04	-3.54	2.75	61.55	51.95	6.82	2.78	88.18	0	42	0	23.95	150.88	2.5	1.4	72900
1976	6	0	118.42	30.99	9.14	-3.82	2.66	66.89	61.64	8.02	0	87.43	0	46.5	0	66.68	150.88	2.7	3.9	72900
1976	7	0	70.98	59.2	11.51	-1.37	5.07	26.84	15.12	11.72	0	11.78	59.2	0.06	0	0	150.88	0	0	72900
1976	8	0	8.13	158.1	20.86	5.39	13.12	0	0	0	0	0	120.13	0	37.97	0	38.88	0	0	72900
1976	9	0	5.6	162.8	23.52	7.31	15.41	0	0	0	0	0	5.6	0	157.2	0	38.88	0	0	72900
1976	10	0	9.37	175.2	28.29	11.11	19.7	0	0	0	0	0	9.37	0	165.83	0	38.88	0	0	72900
1976	11	0	11.7	137.5	24.06	7.78	15.92	0	0	0	0	0	11.7	0	125.8	0	38.88	0	0	72900
1976	12	0	146.08	121.5	23.18	8.43	15.8	0	0	0	0	24.58	121.5	0	0	0	63.46	0	0	72900
1977	1	0	31.12	88.4	19.24	3.54	11.39	0	0	0	0	0	55.7	0	32.7	0	38.88	0	0	72900
1977	2	0	24.68	49.49	14.28	1.82	8.05	3.33	0	3.33	0	0	21.35	0	28.14	0	38.88	0	0	72900
1977	3	0	20.06	22.57	10.68	-2.27	4.21	8.94	2.02	6.92	0	0	13.14	0	9.43	0	38.88	0	0	72900
1977	4	0	60.77	10.71	6.94	-4.56	1.19	42.59	14.76	5.37	22.47	50.06	0	0	0	0	71.81	0	0	72900
1977	5	0	46.82	34.72	11.75	-1.84	4.96	18.4	32.35	8.51	0	12.1	34.72	0	0	0	97.86	0	0	72900
1977	6	0	42.93	20.29	7.43	-4.89	1.27	29.24	22.61	6.62	0	22.64	0	0	0	0	134.17	0	0	72900
1977	7	0	6.39	107.06	16.94	1.7	9.32	0.75	0	0.75	0	0	100.93	0	6.14	0	38.88	0	0	72900
1977	8	0	88.78	95.14	12.61	1.56	7.08	15.59	0	15.59	0	0	73.19	0	21.95	0	38.88	0	0	72900
1977	9	0	19.99	176.9	25.47	9.66	17.56	0	0	0	0	0	19.99	0	156.91	0	38.88	0	0	72900
1977	10	0	1.88	174.7	28.65	10.56	19.61	0	0	0	0	0	1.88	0	172.82	0	38.88	0	0	72900
1977	11	0	18.85	160.4	28.31	11.72	20.02	0	0	0	0	0	18.85	0	141.55	0	38.88	0	0	72900
1977	12	0	1.26	119.9	24.14	6.82	15.48	0	0	0	0	0	1.26	0	118.64	0	38.88	0	0	72900
1978	1	0	24.24	93.3	20.42	4.71	12.57	0	0	0	0	0	24.24	0	69.06	0	38.88	0	0	72900
1978	2	0	38.85	43.11	12.84	1.14	6.99	7.84	0	7.84	0	0	31.01	0	12.09	0	38.88	0	0	72900
1978	3	0	352.51	28	9.94	0.12	5.03	121.33	105.2	7.63	8.5	324.51	28	46.5	0	149.87	150.88	2.7	8.9	72900
1978	4	0	320.13	9.95	5.85	-2.82	1.51	233.36	18.79	5.27	217.8	310.18	0	46.5	0	59.06	150.88	2.7	3.5	72900
1978	5	0	344.43	11.05	5.81	-3.39	1.21	257.95	22.86	5.41	447.48	333.38	0	42	0	67.34	150.88	2.5	4	72900
1978	6	0	331.48	43.32	8.91	-0.88	4.01	148.3	177.36	9.64	408.78	288.16	43.32	46.5	0	270.72	150.88	2.7	16	72900
1978	7	0	200.04	63.36	10.75	-0.27	5.24	68.43	385.14	12.26	79.81	136.68	63.36	45	0	408.39	150.88	2.7	24.1	72900
1978	8	0	8.12	133.59	18.11	2.81	10.46	0.37	58.72	21.45	0	0	133.59	0	0	0	83.77	0	0	72900
1978	9	0	0.89	163.6	23.92	7.15	15.54	0	0	0	0	0	45.78	0	117.82	0	38.88	0	0	72900
1978	10	0	5.59	170.8	28.23	9.72	18.98	0	0	0	0	0	5.59	0	165.21	0	38.88	0	0	72900
1978	11	0	3.45	155.8	28.01	10.31	19.16	0	0	0	0	0	3.45	0	152.35	0	38.88	0	0	72900
1978	12	0	143.47	115	22.37	6.63	14.5	0	0	0	0	28.47	115	0	0	0	67.35	0	0	72900
1979	1	0	4.88	99	22.52	5.39	13.96	0	0	0	0	0	33.35	0	65.65	0	38.88	0	0	72900
1979	2	0	59.58	19.96	9.11	-2.75	3.18	31.4	24.82	6.58	0	39.62	0	0	0	0	91.88	0	0	72900
1979	3	0	127.52	4.13	5.2	-6.36	-0.58	108.77	0	4.51	104.26	123.39	0	0	0	0	110.63	0	0	72900
1979	4	0	158.63	3.05	4.6	-6.23	-0.82	142.52	0	4.37	242.41	155.58	0	0	0	0	126.74	0	0	72900
1979	5	0	210.84	6.92	5.33	-5.2	0.06	174.2	0	4.87	411.74	203.92	0	12.5	0	0	150.88	0.7	0	72900
1979	6	0	213.78	31.03	7.98	-2.4	2.79	121.51	123.25	8.03	401.98	182.75	0	46.5	0	169.02	150.88	2.7	10	72900
1979	7	0	15.32	72.5	13.2	-0.58	6.31	4.54	393.06	13.46	0	0	72.5	45	0	286.34	150.88	2.7	16.9	72900
1979	8	0	25.61	153.6	19.43	5.49	12.46	0	0	0	0	0	137.61	0	15.99	0	38.88	0	0	72900
1979	9	0	3.16	169.4	25.05	7.76	16.41	0	0	0	0	0	3.16	0	166.24	0	38.88	0	0	72900
1979	10	0	4.95	172.9	28.19	10.45	19.32	0	0	0	0	0	4.95	0	167.95	0	38.88	0	0	72900
1979	11	0	5.96	146.1	26.43	8.42	17.43	0	0	0	0	0	5.96	0	140.14	0	38.88	0	0	72900
1979	12	0	16.92	129.6	27.68	7.32	17.5	0	0	0	0	0	16.92	0	112.68	0	38.88	0	0	72900
1980	1	0	76.72	83.5	19.55	2.75	11.15	3.42	0	3.42	0	0	73.3	0	10.2	0	38.88	0	0	72900
1980	2	0	70.3	29.01	10.26	-0.74	4.76	27.1	19.33	7.76	0	41.29	29.01	0	0	0	72.41	0	0	72900
1980	3	0	128.74	22.83	9.5	-1.17	4.17	56.35	49.39	6.96	0	105.91	22.83	20.48	0	0	150.88	1.2	0	72900
1980	4	0	605.54	16.56	7.49	-2.15	2.67	354.91	33.11	6.13	315.66	588.98	0	46.5	0	237.24	150.88	2.7	14	72900
1980	5	0	399.14	27.14	8.8	-1.49	3.66	193.56	69.04	7.52	432.65	372	27.14	42	0	205.48	150.88	2.5	12.1	72900
1980	6	0	174.88	23.3	7	-3.11	1.95	114.34	85.92	7.02	454.05	151.58	0	46.5	0	99.96	150.88	2.7	5.9	72900
1980	7	0	57.47	83.29	14.13	0.27	7.2	13.39	452.57	14.87	0	0	83.29	45	0	368.36	150.88	2.7	21.8	72900
1980	8	0	53.55	114.83	14.82	2.35	8.59	4.94	0	4.94	0	0	114.83	0	0	0	84.66	0	0	72900
1980	9	0	1.25	150.7	21.5	5.75	13.62	0	0	0	0	0	47.03	0	103.67	0	38.88	0	0	72900
1980	10	0	2.49	175.1	28.57	10.8	19.69	0	0	0	0	0	2.49	0	172.61	0	38.88	0	0	72900
1980	11	0	0.63	152.5	27.5	9.61	18.55	0	0	0	0	0	0.63	0	151.87	0	38.88	0	0	72900
1980	12	0	1.06	121.5	25.15	6.46	15.8	0	0	0	0	0	1.06	0	120.44	0	38.88	0	0	72900
1981	1	0	20.9	92.5	20.94	3.77	12.36	0	0	0	0	0	20.9	0	71.6	0	38.88	0	0	72900
1981	2	0	10.09	40.76	14.01	0.06	7.04	2.49	0	2.49	0	0	7.6	0	33.16	0	38.88	0	0	72900
1981	3	0	109.08	24.76	10.6	-1.36	4.62	44.33	37.12	7.21	0	84.32	24.76	0	0	0	116	0	0	72900
1981	4	0	231.68	20.05	8.65	-2.06	3.29	120.27	40.86	6.59	72.82	211.63	0	46.5	0	70.88	150.88	2.7	4.2	72900
1981	5	0	59.16	25.65	9.96	-3.11	3.43	29.92	64.7	7.32	30.72	33.51	0	42	0	51.94	150.88	2.5	3.1	72900
1981	6	0	228.16	34.81	8.5	-2.13	3.19	120.84	140.7	8.52	2.34	193.35	0	46.5	0	201.52	150.88	2.7	11.9	72900
1981	7	0	55.58	101.07	15.5	1.62	8.56	7.53	0	9.87	0	0	101.07	0	0	0	97.87	0	0	72900
1981	8	0	47.56	146.6	18.51	4.34	11.43	0	0	0	0	0	106.55	0	40.05	0	38.88	0	0	72900
1981	9	0	0	183.8	26.95	10.39	18.67	0	0	0	0	0	0	0	183.8	0	38.88	0	0	72900
1981	10	0	0.47	177.4	29.47	10.65	20.06	0	0	0	0	0	0.47	0	176.93	0	38.88	0	0	72900
1981	11	0	5.16	164.4	30	11.55	20.77	0	0	0	0	0	5.16	0	159.24	0	38.88	0	0	72900
1981	12	0	1.81	129.2	26.24	8.58	17.41	0	0	0	0	0	1.81	0	127.39	0	38.88	0	0	72900
1982	1	0	84.65	64.06	16	1.13	8.56	13.49	1.14	12.35	0	20.59	64.06	0	0	0	47.12	0	0	72900
