Plot,Subplot,quadrat,Xsubplot,Ysubplot,Xquadrat,Yquadrat
BBBPIPO,6,1,37.5,62.5,27.5,72.5
BBBPIPO,6,2,37.5,62.5,32.5,72.5
BBBPIPO,6,3,37.5,62.5,37.5,72.5
BBBPIPO,6,4,37.5,62.5,42.5,72.5
BBBPIPO,6,5,37.5,62.5,47.5,72.5
BBBPIPO,6,6,37.5,62.5,27.5,67.5
BBBPIPO,6,7,37.5,62.5,32.5,67.5
BBBPIPO,6,8,37.5,62.5,37.5,67.5
BBBPIPO,6,9,37.5,62.5,42.5,67.5
BBBPIPO,6,10,37.5,62.5,47.5,67.5
BBBPIPO,6,11,37.5,62.5,27.5,62.5
BBBPIPO,6,12,37.5,62.5,32.5,62.5
BBBPIPO,6,13,37.5,62.5,37.5,62.5
BBBPIPO,6,14,37.5,62.5,42.5,62.5
BBBPIPO,6,15,37.5,62.5,47.5,62.5
BBBPIPO,6,16,37.5,62.5,27.5,57.5
BBBPIPO,6,17,37.5,62.5,32.5,57.5
BBBPIPO,6,18,37.5,62.5,37.5,57.5
BBBPIPO,6,19,37.5,62.5,42.5,57.5
BBBPIPO,6,20,37.5,62.5,47.5,57.5
BBBPIPO,6,21,37.5,62.5,27.5,52.5
BBBPIPO,6,22,37.5,62.5,32.5,52.5
BBBPIPO,6,23,37.5,62.5,37.5,52.5
BBBPIPO,6,24,37.5,62.5,42.5,52.5
BBBPIPO,6,25,37.5,62.5,47.5,52.5
BBBPIPO,11,1,62.5,37.5,52.5,47.5
BBBPIPO,11,2,62.5,37.5,57.5,47.5
BBBPIPO,11,3,62.5,37.5,62.5,47.5
BBBPIPO,11,4,62.5,37.5,67.5,47.5
BBBPIPO,11,5,62.5,37.5,72.5,47.5
BBBPIPO,11,6,62.5,37.5,52.5,42.5
BBBPIPO,11,7,62.5,37.5,57.5,42.5
BBBPIPO,11,8,62.5,37.5,62.5,42.5
BBBPIPO,11,9,62.5,37.5,67.5,42.5
BBBPIPO,11,10,62.5,37.5,72.5,42.5
BBBPIPO,11,11,62.5,37.5,52.5,37.5
BBBPIPO,11,12,62.5,37.5,57.5,37.5
BBBPIPO,11,13,62.5,37.5,62.5,37.5
BBBPIPO,11,14,62.5,37.5,67.5,37.5
BBBPIPO,11,15,62.5,37.5,72.5,37.5
BBBPIPO,11,16,62.5,37.5,52.5,32.5
BBBPIPO,11,17,62.5,37.5,57.5,32.5
BBBPIPO,11,18,62.5,37.5,62.5,32.5
BBBPIPO,11,19,62.5,37.5,67.5,32.5
BBBPIPO,11,20,62.5,37.5,72.5,32.5
BBBPIPO,11,21,62.5,37.5,52.5,27.5
BBBPIPO,11,22,62.5,37.5,57.5,27.5
BBBPIPO,11,23,62.5,37.5,62.5,27.5
BBBPIPO,11,24,62.5,37.5,67.5,27.5
BBBPIPO,11,25,62.5,37.5,72.5,27.5
CCRPIPO,8,1,37.5,37.5,27.5,27.5
CCRPIPO,8,2,37.5,37.5,27.5,32.5
CCRPIPO,8,3,37.5,37.5,27.5,37.5
CCRPIPO,8,4,37.5,37.5,27.5,42.5
CCRPIPO,8,5,37.5,37.5,27.5,47.5
CCRPIPO,8,6,37.5,37.5,32.5,27.5
CCRPIPO,8,7,37.5,37.5,32.5,32.5
CCRPIPO,8,8,37.5,37.5,32.5,37.5
CCRPIPO,8,9,37.5,37.5,32.5,42.5
CCRPIPO,8,10,37.5,37.5,32.5,47.5
CCRPIPO,8,11,37.5,37.5,37.5,27.5
CCRPIPO,8,12,37.5,37.5,37.5,32.5
CCRPIPO,8,13,37.5,37.5,37.5,37.5
CCRPIPO,8,14,37.5,37.5,37.5,42.5
CCRPIPO,8,15,37.5,37.5,37.5,47.5
CCRPIPO,8,16,37.5,37.5,42.5,27.5
CCRPIPO,8,17,37.5,37.5,42.5,32.5
CCRPIPO,8,18,37.5,37.5,42.5,37.5
CCRPIPO,8,19,37.5,37.5,42.5,42.5
CCRPIPO,8,20,37.5,37.5,42.5,47.5
CCRPIPO,8,21,37.5,37.5,47.5,27.5
CCRPIPO,8,22,37.5,37.5,47.5,32.5
CCRPIPO,8,23,37.5,37.5,47.5,37.5
CCRPIPO,8,24,37.5,37.5,47.5,42.5
CCRPIPO,8,25,37.5,37.5,47.5,47.5
CCRPIPO,11,1,37.5,112.5,27.5,102.5
CCRPIPO,11,2,37.5,112.5,27.5,107.5
CCRPIPO,11,3,37.5,112.5,27.5,112.5
CCRPIPO,11,4,37.5,112.5,27.5,117.5
CCRPIPO,11,5,37.5,112.5,27.5,122.5
CCRPIPO,11,6,37.5,112.5,32.5,102.5
CCRPIPO,11,7,37.5,112.5,32.5,107.5
CCRPIPO,11,8,37.5,112.5,32.5,112.5
CCRPIPO,11,9,37.5,112.5,32.5,117.5
CCRPIPO,11,10,37.5,112.5,32.5,122.5
CCRPIPO,11,11,37.5,112.5,37.5,102.5
CCRPIPO,11,12,37.5,112.5,37.5,107.5
CCRPIPO,11,13,37.5,112.5,37.5,112.5
CCRPIPO,11,14,37.5,112.5,37.5,117.5
CCRPIPO,11,15,37.5,112.5,37.5,122.5
CCRPIPO,11,16,37.5,112.5,42.5,102.5
CCRPIPO,11,17,37.5,112.5,42.5,107.5
CCRPIPO,11,18,37.5,112.5,42.5,112.5
CCRPIPO,11,19,37.5,112.5,42.5,117.5
CCRPIPO,11,20,37.5,112.5,42.5,122.5
CCRPIPO,11,21,37.5,112.5,47.5,102.5
CCRPIPO,11,22,37.5,112.5,47.5,107.5
CCRPIPO,11,23,37.5,112.5,47.5,112.5
CCRPIPO,11,24,37.5,112.5,47.5,117.5
CCRPIPO,11,25,37.5,112.5,47.5,122.5
CRCRPIPO,7,1,37.5,62.5,27.5,52.5
CRCRPIPO,7,2,37.5,62.5,27.5,57.5
CRCRPIPO,7,3,37.5,62.5,27.5,62.5
CRCRPIPO,7,4,37.5,62.5,27.5,67.5
CRCRPIPO,7,5,37.5,62.5,27.5,72.5
CRCRPIPO,7,6,37.5,62.5,32.5,52.5
CRCRPIPO,7,7,37.5,62.5,32.5,57.5
CRCRPIPO,7,8,37.5,62.5,32.5,62.5
CRCRPIPO,7,9,37.5,62.5,32.5,67.5
CRCRPIPO,7,10,37.5,62.5,32.5,72.5
CRCRPIPO,7,11,37.5,62.5,37.5,52.5
CRCRPIPO,7,12,37.5,62.5,37.5,57.5
CRCRPIPO,7,13,37.5,62.5,37.5,62.5
CRCRPIPO,7,14,37.5,62.5,37.5,67.5
CRCRPIPO,7,15,37.5,62.5,37.5,72.5
CRCRPIPO,7,16,37.5,62.5,42.5,52.5
CRCRPIPO,7,17,37.5,62.5,42.5,57.5
CRCRPIPO,7,18,37.5,62.5,42.5,62.5
CRCRPIPO,7,19,37.5,62.5,42.5,67.5
CRCRPIPO,7,20,37.5,62.5,42.5,72.5
CRCRPIPO,7,21,37.5,62.5,47.5,52.5
CRCRPIPO,7,22,37.5,62.5,47.5,57.5
CRCRPIPO,7,23,37.5,62.5,47.5,62.5
CRCRPIPO,7,24,37.5,62.5,47.5,67.5
CRCRPIPO,7,25,37.5,62.5,47.5,72.5
CRCRPIPO,10,1,62.5,37.5,52.5,27.5
CRCRPIPO,10,2,62.5,37.5,52.5,32.5
CRCRPIPO,10,3,62.5,37.5,52.5,37.5
CRCRPIPO,10,4,62.5,37.5,52.5,42.5
CRCRPIPO,10,5,62.5,37.5,52.5,47.5
CRCRPIPO,10,6,62.5,37.5,57.5,27.5
