PLOT,SUBPLOT,TAGNUMBER,SppCode,IngrowthYear,YearFirstRecorded,MortalityYear,DBH1,DBH2,DBH3,DBH4,DBH5,DBH6,DBH7,newX,newY
BBBPIPO,1,1991,ABCO,NA,1992,NA,4.4,5,5.6,6,6.2,NA,NA,19.11733894,80.58471721
BBBPIPO,1,2012,ABCO,NA,1992,NA,8.7,9.1,9.8,10.4,11.1,NA,NA,24.37821339,77.04918331
BBBPIPO,1,2015,ABCO,NA,1992,NA,5.1,5.5,5.5,3.5,6,NA,NA,26.04203564,79.45829611
BBBPIPO,1,2022,ABCO,NA,1992,NA,3.2,2.9,3.3,4,4.9,NA,NA,20.3123494,77.96135105
BBBPIPO,1,1954,CADE,NA,1992,NA,106.6,106.1,107.5,106,106.4,NA,NA,9.338052152,99.24526517
BBBPIPO,1,1955,CADE,NA,1992,NA,31.1,32.7,34.9,38,40.3,NA,NA,11.61352177,94.07065774
BBBPIPO,1,1956,CADE,NA,1992,NA,27,28.9,31.4,32.8,34.6,NA,NA,25.87940108,86.84756197
BBBPIPO,1,1959,CADE,NA,1992,NA,17.5,16.9,17.9,18.2,18.3,NA,NA,25.28755271,85.23323719
BBBPIPO,1,1961,CADE,NA,1992,NA,23.6,24.8,26.3,27.1,28,NA,NA,22.01364831,85.07060263
BBBPIPO,1,1962,CADE,NA,1992,NA,11.7,11.4,11.3,11.6,11.7,NA,NA,19.05157801,85.72750483
BBBPIPO,1,1963,CADE,NA,1992,NA,20.8,21.6,23,23.3,24.4,NA,NA,18.59407992,86.48198777
BBBPIPO,1,1966,CADE,NA,1992,NA,23.1,24.6,26.1,27.6,29.5,NA,NA,18.04253663,85.33647478
BBBPIPO,1,1967,CADE,NA,1992,NA,6.7,6.8,6.6,9,8.4,NA,NA,15.88586095,85.6829571
BBBPIPO,1,1968,CADE,NA,1992,NA,4.8,5.1,5.9,6.8,7,NA,NA,15.64756596,85.3697088
BBBPIPO,1,1970,CADE,NA,1992,NA,32.8,37.4,40.3,32.3,34.5,NA,NA,1.957978677,83.71507893
BBBPIPO,1,1972,CADE,NA,1992,NA,25.5,27,29,30.8,33.4,NA,NA,9.504929353,83.08363258
BBBPIPO,1,1975,CADE,NA,1992,2009,0.4,0.2,0.2,0.7,NA,NA,NA,13.17269223,80.51895628
BBBPIPO,1,1976,CADE,NA,1992,NA,7.3,8.3,8.7,9.4,9.7,NA,NA,14.07637469,81.14262446
BBBPIPO,1,1979,CADE,NA,1992,NA,3.4,4.4,4.4,4.9,4.6,NA,NA,15.10521506,83.2533382
BBBPIPO,1,1980,CADE,NA,1992,NA,2.5,1.8,2.1,2.9,2.5,NA,NA,15.9438437,83.95620234
BBBPIPO,1,1981,CADE,NA,1992,1995,2.1,NA,NA,NA,NA,NA,NA,14.69721445,82.36026234
BBBPIPO,1,1982,CADE,NA,1992,NA,46,47.3,49.4,51.3,52.7,NA,NA,14.73610532,81.60012255
BBBPIPO,1,1984,CADE,NA,1992,2006,0.3,0.6,0.8,NA,NA,NA,NA,15.88303252,82.64522637
BBBPIPO,1,1985,CADE,NA,1992,NA,6.5,7,7.5,8.2,8.6,NA,NA,18.59549413,84.28854253
BBBPIPO,1,1986,CADE,NA,1992,NA,28.2,29.9,31.4,33.2,35.1,NA,NA,20.25295243,84.54027255
BBBPIPO,1,1987,CADE,NA,1992,2009,8.1,8.2,8.3,8.2,NA,NA,NA,20.81510232,83.37001082
BBBPIPO,1,1922,CADE,NA,1992,1993,10.6,NA,NA,NA,NA,NA,NA,5.14915158,77.68133677
BBBPIPO,1,1941,CADE,NA,1992,NA,12.2,12.7,13.8,14.5,15.3,NA,NA,25.87515844,98.57563504
BBBPIPO,1,1942,CADE,NA,1992,NA,12.2,13.1,14.2,15.2,16.8,NA,NA,24.7756074,95.75781452
BBBPIPO,1,1944,CADE,NA,1992,NA,19.7,21.6,23.5,25.9,27.7,NA,NA,21.71312793,96.17571463
BBBPIPO,1,1947,CADE,NA,1992,NA,10.1,7.5,8.3,9,9.2,NA,NA,22.67762158,99.34072458
BBBPIPO,1,1948,CADE,NA,1992,NA,9.1,10.8,12.3,13.3,14.4,NA,NA,20.66236725,99.30536924
BBBPIPO,1,1951,CADE,NA,1992,NA,18.6,20.6,22.4,26.1,27.1,NA,NA,15.39937148,96.21036286
BBBPIPO,1,1953,CADE,NA,1992,1993,6.1,NA,NA,NA,NA,NA,NA,13.84232235,95.50467029
BBBPIPO,1,1988,CADE,NA,1992,NA,12,12.5,13.2,13.4,13.8,NA,NA,21.01733486,82.2626816
BBBPIPO,1,1989,CADE,NA,1992,2005,6.4,6.6,6.5,NA,NA,NA,NA,20.82429471,82.65371165
BBBPIPO,1,1993,CADE,NA,1992,2008,7,6.8,6.6,6.6,NA,NA,NA,20.82924445,80.28702526
BBBPIPO,1,1994,CADE,NA,1992,2009,9.7,9.8,10.8,9.7,NA,NA,NA,19.73322894,80.27995419
BBBPIPO,1,1996,CADE,NA,1992,1993,1.3,NA,NA,NA,NA,NA,NA,18.79489824,81.71325963
BBBPIPO,1,1999,CADE,NA,1992,NA,13.1,13.5,14.3,15.1,15.7,NA,NA,18.09556964,80.74381624
BBBPIPO,1,2004,CADE,NA,1992,NA,21.7,23,25.3,25.7,27.3,NA,NA,22.65994391,80.9170574
BBBPIPO,1,2005,CADE,NA,1992,1994,2.9,NA,NA,NA,NA,NA,NA,23.00713334,80.32945166
BBBPIPO,1,2006,CADE,NA,1992,2015,5.5,6.7,6.1,6.1,6.2,NA,NA,23.50493651,83.72073579
BBBPIPO,1,2007,CADE,NA,1992,NA,4.6,5.2,5.5,5.7,5.8,NA,NA,24.18022349,84.06368257
BBBPIPO,1,2008,CADE,NA,1992,NA,4.6,4.8,5.1,5.3,5.3,NA,NA,24.26224788,83.37354636
BBBPIPO,1,2009,CADE,NA,1992,2009,4.7,5.1,5.2,5.2,NA,NA,NA,24.6087302,80.86331728
BBBPIPO,1,2010,CADE,NA,1992,NA,12.4,12,13,13.1,13.5,NA,NA,24.96864755,79.47102403
BBBPIPO,1,2011,CADE,NA,1992,2009,9.1,8.8,9.2,8.9,NA,NA,NA,24.81874091,79.02696097
BBBPIPO,1,2013,CADE,NA,1992,1994,6.8,NA,NA,NA,NA,NA,NA,24.39518395,79.16767522
BBBPIPO,1,2014,CADE,NA,1992,NA,20.3,22.2,24.3,25.1,26.1,NA,NA,25.99960924,77.03999092
BBBPIPO,1,2017,CADE,NA,1992,NA,9,9.8,10.8,11,11.3,NA,NA,22.69247082,75.32667119
BBBPIPO,1,2018,CADE,NA,1992,NA,18,19.1,20.5,21.2,22.1,NA,NA,22.12112854,76.97281577
BBBPIPO,1,2025,CADE,NA,1992,NA,14.8,15.6,17,17.5,18.2,NA,NA,19.66534669,78.65078016
BBBPIPO,1,2026,CADE,NA,1992,NA,18.8,20.9,22.7,24.1,25.7,NA,NA,20.4792266,75.48930575
BBBPIPO,1,2029,CADE,NA,1992,NA,16.3,17.1,18.3,19.7,21.1,NA,NA,10.88520179,75.80608958
BBBPIPO,1,2030,CADE,NA,1992,NA,7.8,8.1,8.4,9,9.1,NA,NA,10.5005357,79.18888843
BBBPIPO,1,2031,CADE,NA,1992,NA,8.6,9.1,9.5,9.8,10,NA,NA,10.73883069,79.530421
BBBPIPO,1,2032,CADE,NA,1992,NA,16.3,17.3,18.1,18.5,19.3,NA,NA,8.969649519,78.45703291
BBBPIPO,1,2034,CADE,NA,1992,NA,11.6,12.8,14.1,15.5,16.7,NA,NA,7.467047609,79.52122861
BBBPIPO,1,2035,CADE,NA,1992,NA,12.1,12.7,14,14.2,15,NA,NA,2.310117854,76.6737096
